Gene	Symbol	Description At Homolog	
Zm00001d047373		Ubiquitin domain-containing protein DSK2b	AT2G17190,AT2G17200
Zm00001d047374		Cyclin-dependent kinase B1-1	
Zm00001d047378		DUF241 domain protein	
Zm00001d047382	pc326	plasmacytoma 326 homolog	AT4G38480,AT4G35140
Zm00001d047384		Putative jumonji-like transcription factor family protein	
Zm00001d047385		Probable protein phosphatase 2C 48	
Zm00001d047388	mgt4	magnesium transporter4	AT3G58970
Zm00001d047389		zinc knuckle (CCHC-type) family protein	
Zm00001d047392		Transducin/WD40 repeat-like superfamily protein	AT5G03450
Zm00001d047395		Transposon protein	AT5G03450
Zm00001d047396		Dual specificity phosphatase Cdc25	AT5G03455
Zm00001d047397		transmembrane protein G1P-related 1	AT3G51790
Zm00001d047398	es1	embryo sac1	
Zm00001d047399		PLASMODESMATA CALLOSE-BINDING PROTEIN 5	
Zm00001d047401		Serine/arginine-rich SC35-like splicing factor SCL33	AT1G55310,AT3G13570
Zm00001d047402	umc95	Putative calmodulin-binding family protein	AT3G13600
Zm00001d047403		SNARE associated Golgi protein family	AT2G02370
Zm00001d047404		Low temperature viability protein	AT3G49990
Zm00001d047405		DNA-directed DNA polymerases	
Zm00001d047406		DNA-directed DNA polymerases	
Zm00001d047407		Low temperature viability protein	
Zm00001d047408		DNA-directed DNA polymerases	
Zm00001d047412	bnl8.17	Protein phosphatase 2C 32	AT2G46920
Zm00001d047417		Putative cytochrome P450 superfamily protein	
Zm00001d047418		Cytochrome P450 709B2	AT4G27710,AT2G46950,AT2G46960
Zm00001d047419		Hydrophobic protein RCI2B	
Zm00001d047420		DUF679 domain membrane protein 2	AT3G21550
Zm00001d047421	gbptf9	GeBP-transcription factor 9	AT5G28040,AT3G04930
Zm00001d047422		[Pyruvate dehydrogenase (acetyl-transferring)] kinase mitochondrial	AT3G06483
Zm00001d047423		Peptidase C15 pyroglutamyl peptidase I-like	AT1G56700
Zm00001d047424	cyp21	cytochrome P-450 21	
Zm00001d047425	GRMZM2G119067	Flavonoid 3'-monooxygenase	
Zm00001d047426		Peptidyl-prolyl cis-trans isomerase PASTICCINO1	AT3G54010
Zm00001d047427	ufg13a	CST complex subunit STN1	AT1G07130
Zm00001d047428		CDPK-related kinase 1	AT3G56760,AT2G41140
Zm00001d047430		Putative cyclin-dependent protein kinase family protein	
Zm00001d047434		Probable mediator of RNA polymerase II transcription subunit 26b	
Zm00001d047435		Stomatal closure-related actin-binding protein 1	
Zm00001d047436		AAA-ATPase ASD mitochondrial	
Zm00001d047437		Protein kinase superfamily protein	AT1G61590
Zm00001d047438		P-loop containing nucleoside triphosphate hydrolases superfamily protein	
Zm00001d047439		Probable protein S-acyltransferase 17	AT3G04970
Zm00001d047440	tps21	terpene synthase21	
Zm00001d047441		NADPH:quinone oxidoreductase	AT3G27890
Zm00001d047442	mterf30	mTERF-domain protein30	AT2G36000
Zm00001d047443		Transmembrane protein 85	AT5G10780
Zm00001d047446		Rhomboid-like protein 19	AT3G07950
Zm00001d047447		Phosphoinositide phospholipase C 2	
Zm00001d047448	pco114914	Glutathione peroxidase	AT3G63080,AT2G48150
Zm00001d047449		Protein HUA2-LIKE 3	AT3G63070,AT2G48160
Zm00001d047451		Telomerase reverse transcriptase catalytic subunit variant	AT5G16850
Zm00001d047452	fns1	flavone synthase1	AT5G06900
Zm00001d047453	umc1078	Villin-2	
Zm00001d047455		Alpha-N-acetylglucosaminidase	AT5G13690
Zm00001d047456		TRAF-type zinc finger-related	AT1G09920
Zm00001d047457		Phosphatidylinositol 4-phosphate 5-kinase 6	
Zm00001d047460		Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	
Zm00001d047461		Mitochondria fission 1 protein	AT3G57090
Zm00001d047462		50S ribosomal protein L6 chloroplastic	AT1G05190
Zm00001d047463		NAD(P)-binding Rossmann-fold superfamily protein	AT4G31530
Zm00001d047464		Beta-adaptin-like protein C	AT4G11380,AT4G23460
Zm00001d047466		R3H domain protein	
Zm00001d047467		hAT transposon superfamily protein	
Zm00001d047468	apt1	aberrant pollen transmission1	AT5G49680,AT1G58250
Zm00001d047469		Putative nucleolar-protein-domain family protein	AT1G11240
Zm00001d047470		Protein EARLY RESPONSIVE TO DEHYDRATION 15	AT2G41430
Zm00001d047471	chr125a	chromatin complex subunit A 125a	AT3G57300
Zm00001d047472		homolog of nucleolar protein NOP56	AT3G12860,AT1G56110
Zm00001d047474		SAC3 family protein C	AT3G54380
Zm00001d047476		Probable E3 ubiquitin-protein ligase RHC1A	AT3G56580,AT2G40830
Zm00001d047477		Nascent polypeptide-associated complex alpha subunit-like protein	AT3G12390,AT5G13850
Zm00001d047479	sod9	superoxide dismutase9	AT1G08830
Zm00001d047481		Probable nucleolar protein 5-1	AT3G05060,AT5G27120
Zm00001d047483		Putative phototropic-resoponsive NPH3 family protein	AT1G03010
Zm00001d047484		Putative pyruvate dehydrogenase kinase family protein	
Zm00001d047487	sweet12b	sugars will eventually be exported transporter12b	
Zm00001d047488		Phosphatidylinositol/phosphatidylcholine transfer protein SFH8	
Zm00001d047491	jmj3	JUMONJI-transcription factor 3	AT1G09060
Zm00001d047492		Heavy metal transport/detoxification superfamily protein	
Zm00001d047493		40S ribosomal protein S21-2	
Zm00001d047494		AAA-type ATPase family protein	
Zm00001d047495		Premnaspirodiene oxygenase	
Zm00001d047497	laz7	lazarus ortholog7	AT1G77220
Zm00001d047498		Serine/arginine-rich-splicing factor SR34	AT4G02430,AT3G49430,AT1G02840
Zm00001d047499		 protein; Expressed protein	AT3G06890
Zm00001d047500		60S ribosomal protein L22-2	AT3G05560,AT5G27770
Zm00001d047501		Blue-light photoreceptor PHR2	AT2G47590
Zm00001d047502		DEAD-box ATP-dependent RNA helicase 35	AT5G51280
Zm00001d047503		Dormancy-associated protein homolog 3	AT1G56220
Zm00001d047504		UDP-glycosyltransferase 88A1	
Zm00001d047505		Putative homeodomain-like transcription factor superfamily protein	
Zm00001d047506		Putative GTP diphosphokinase RSH1 chloroplastic	
Zm00001d047507		Putative RING zinc finger domain superfamily protein	
Zm00001d047508		Protein argonaute 1	
Zm00001d047509		60S ribosomal protein L14-1	
Zm00001d047511		agenet domain-containing protein / bromo-adjacent homology (BAH) domain-containing protein	
Zm00001d047512	IDP534	Other Eukaryotes - 0 (source: NCB /.../k).; Plants - 289; Fungi - 0; Metazoa - 0; Bacteria - 0; Viruses - 0; BEST Arabidopsis thaliana protein match is: transcription regulators (TAIR:AT3G56220.1); Has 289 Blast hits to 289 proteins in 30 species: Archae - 0	
Zm00001d047514		Peroxidase 52	
Zm00001d047516	mmp179	WEB family protein	AT3G51720,AT2G38370
Zm00001d047517		Reticulon-like protein B16	AT3G10915
Zm00001d047518		Nardilysin-like	AT1G06900
Zm00001d047519	bzip124	bZIP-transcription factor 124	AT2G40620
Zm00001d047521		LOB domain-containing protein 6	
Zm00001d047522	vacs1	vacuolar sorting receptor homolog1	
Zm00001d047523		Probable WRKY transcription factor 30	
Zm00001d047525		Heat shock 70 kDa protein 14	
Zm00001d047526		Lung seven transmembrane receptor family protein	
Zm00001d047527		Phospholipid-transporting ATPase 1	
Zm00001d047528		CONTAINS InterPro DOMAIN/s: PRC-barrel-like (InterPro:IPR011033); Has 300 Blast hits to 300 proteins in 81 species: Archae - 0; Fungi - 0; Other Eukaryotes - 128 (source: NCBI BLink).; Metazoa - 0; Bacteria - 135; Viruses - 0; Plants - 37	AT2G38570,AT5G05190
Zm00001d047530		signal recognition particle-related / SRP-related	
Zm00001d047531	IDP300	Putative AGC-like protein kinase family protein isoform 1%3B Putative AGC-like protein kinase family protein isoform 2%3B Putative AGC-like protein kinase family protein isoform 3%3B Serine/threonine-protein kinase AtPK19	AT3G08730,AT3G08720
Zm00001d047532		Photosystem II repair protein PSB27-H1 chloroplastic	AT1G03600
Zm00001d047533		Putative receptor-like protein kinase family protein	AT3G51550
Zm00001d047534		ABC transporter E family member 2	AT4G19210
Zm00001d047535		Calcium-binding protein CML42	AT4G20780,AT5G44460
Zm00001d047536		Bacteria - 1007; BEST Arabidopsis thaliana protein match is: COP1-interacting protein-related (TAIR:AT1G72410.1); Other Eukary /.../ 3818 (source: NCBI BLink).; Has 9949 Blast hits to 7480 proteins in 576 species: Archae - 12; Viruses - 50; Plants - 444; Metazoa - 3636; Fungi - 982	
Zm00001d047537		Transferase	AT2G38650
Zm00001d047538		Endo-1%2C4-beta-glucanase	AT5G49720
Zm00001d047539	c3h6	C3H-transcription factor 36	AT3G51950,AT3G63450
Zm00001d047540		Guanine nucleotide exchange factor SPIKE 1	AT4G16340
Zm00001d047542		17.6 kDa class II heat shock protein	AT5G12020,AT5G12030
Zm00001d047543		Putative cytochrome P450 superfamily protein	
Zm00001d047547		fringe-related protein	
Zm00001d047548	hsp18a	18 kda heat shock protein18a	AT5G12020,AT5G12030
Zm00001d047549		Cytochrome P450 hydroxylase	
Zm00001d047553		 hsp18a;18 kda heat shock protein18a: induced by heat shock specifically in anthers or spikelets containing meitotic microsporocytes	AT5G12020,AT5G12030
Zm00001d047554	nactf29	NAC-transcription factor 29	AT3G04060,AT5G18270
Zm00001d047555		Thioredoxin-like 1-1 chloroplastic	AT1G08570
Zm00001d047558		RING/U-box superfamily protein	AT5G18260
Zm00001d047559	wox11	WUSCHEL-related homeobox transcription factor 11	AT5G17810,AT3G03660
Zm00001d047560		Protein binding protein%3B Putative RING zinc finger domain superfamily protein isoform 1%3B Putative RING zinc finger domain superfamily protein isoform 2	AT4G26400,AT5G56340
Zm00001d047562	mmp41	Exostosin family protein	AT3G45400
Zm00001d047563	eil1	ethylene insensitive-like1	AT3G20770,AT2G27050
Zm00001d047566		Mitochondrial import receptor subunit TOM40-1	AT3G20000
Zm00001d047567		embryonic cell protein 63	AT2G36640,AT3G53040
Zm00001d047568	vq55	VQ motif-transcription factor55	
Zm00001d047570	sirk1	sucrose-induced receptor kinase1	AT2G27060
Zm00001d047573		F-box protein	
Zm00001d047574	wrky65	WRKY-transcription factor 65	AT5G22340
Zm00001d047579	myb29	MYB-transcription factor 29	AT3G06490,AT5G49620
Zm00001d047580		NAD(P)-binding Rossmann-fold superfamily protein	
Zm00001d047581		30S ribosomal protein S1	AT5G30510
Zm00001d047582	gols3	galactinol synthase3	AT1G56600,AT2G47180
Zm00001d047583	AY110217	ABC transporter I family member 20	AT5G02270
Zm00001d047584		Eukaryotic aspartyl protease family protein	
Zm00001d047587	bzip105	bZIP-transcription factor 105	
Zm00001d047589	thx29	Trihelix-transcription factor 29	AT5G63420
Zm00001d047591	vq56	VQ motif-transcription factor56	
Zm00001d047592	ogdh2	2-oxoglutarate dehydrogenase2	
Zm00001d047594		SNF1 protein kinase regulatory subunit beta-1%3B SNF1-related protein kinase regulatory subunit beta-1	AT5G21170
Zm00001d047596		Transcription initiation factor TFIID subunit 7	AT1G55300
Zm00001d047597		Calmodulin-7	AT3G43810
Zm00001d047599		Pentatricopeptide repeat-containing protein  mitochondrial	
Zm00001d047600		Protein REDUCED WALL ACETYLATION 2	AT5G46340,AT1G29890,AT2G34410
Zm00001d047601		Pre-mRNA-splicing factor ATP-dependent RNA helicase%3B Putative RNA helicase family protein	AT3G62310,AT2G47250
Zm00001d047603	IDP310	L-Aspartase-like family protein	AT1G36280,AT4G18440
Zm00001d047604		Serine/threonine protein kinase	
Zm00001d047607		Nuclear poly(A) polymerase 3	AT3G06560
Zm00001d047608		Betaine aldehyde dehydrogenase 2 mitochondrial	AT5G52840
Zm00001d047610		DNA binding protein	
Zm00001d047612		P-loop containing nucleoside triphosphate hydrolases superfamily protein	AT4G21800
Zm00001d047613		General transcription factor 2-related zinc finger protein	
Zm00001d047614		Putative HLH DNA-binding domain superfamily protein	AT3G06590,AT3G17100
Zm00001d047615		Putative cytochrome P450 superfamily protein	
Zm00001d047617	AY109792	Chloroplast protein HCF243	AT3G15095
Zm00001d047618		Caltractin	AT5G49480
Zm00001d047620		GDSL-like Lipase/Acylhydrolase superfamily protein	
Zm00001d047622		Vacuolar protein sorting-associated protein 9A	
Zm00001d047624		Putative AP2/EREBP transcription factor superfamily protein	
Zm00001d047626		Serrate RNA effector molecule	
Zm00001d047632	phyB2	phytochromeB2	AT2G18790,AT4G16250
Zm00001d047633		Putative DEAD-box ATP-dependent RNA helicase family protein	AT2G47330
Zm00001d047634	v30	virescent30	AT1G02560
Zm00001d047635		Ubiquitin-conjugating enzyme E2 32	AT3G17000
Zm00001d047636	mez2	enhancer of zeste2	AT4G02020
Zm00001d047637		Protein trichome birefringence-like 6	
Zm00001d047638		Calcium-dependent phosphotriesterase superfamily protein	AT2G47370,AT2G16760
Zm00001d047639	nas6	nicotianamine synthase6	AT1G09240,AT5G56080,AT1G56430,AT1G56423,AT5G04950
Zm00001d047640	tena3	thiaminase3	AT3G16990
Zm00001d047641		Probable dolichyl pyrophosphate Man9GlcNAc2 alpha-13-glucosyltransferase	
Zm00001d047643		NAD(P)-binding Rossmann-fold superfamily protein	
Zm00001d047644	bzip77	bZIP-transcription factor 77	
Zm00001d047647		Xyloglucan 6-xylosyltransferase 2	
Zm00001d047648		Xyloglucan 6-xylosyltransferase 2	
Zm00001d047651	nas1	nicotianamine synthase1	AT1G09240,AT5G56080,AT5G04950,AT1G56430
Zm00001d047654		Xyloglucan 6-xylosyltransferase 2	
Zm00001d047656	nas8	nicotianamine synthase8	AT1G09240,AT5G56080,AT5G04950,AT1G56430
Zm00001d047657		Xyloglucan 6-xylosyltransferase 2	
Zm00001d047658	nas10	nicotianamine synthase10	AT1G09240,AT5G56080,AT5G04950,AT1G56430
Zm00001d047659		phosphoinositide binding	
Zm00001d047661		Tetratricopeptide repeat (TPR)-like superfamily protein	AT2G47440,AT4G02100,AT3G62570,AT1G02650
Zm00001d047663	IDP708	Acetate/butyrate--CoA ligase AAE7 peroxisomal	AT3G16910
Zm00001d047664		Multidrug resistance protein ABC transporter family protein	AT4G02090
Zm00001d047665		cellulose synthase/ transferase transferring glycosyl groups; AT5G44030 (E=6e-024) CESA4 IRX5 NWS2 | CESA4 (CELLULOSE SYNTHASE A4)	
Zm00001d047666	gpat14	glycerol-3-phosphate acyltransferase14	AT5G60620
Zm00001d047667		Argininosuccinate lyase chloroplastic	AT5G10920
Zm00001d047670		Probable indole-3-pyruvate monooxygenase YUCCA11	
Zm00001d047671	myb154	MYB-transcription factor 154	AT2G47460,AT3G62610
Zm00001d047673		DUF4378 domain protein	AT3G05750,AT3G58650,AT5G26910
Zm00001d047674		Cell-linked locus protein%3B Long cell-linked locus protein	AT5G38700,AT4G02170
Zm00001d047675		DUF3511 domain protein	
Zm00001d047676	phd36	PHD-transcription factor 36	AT3G05670
Zm00001d047677	cl37086_1	P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain	
Zm00001d047678		General transcription factor 2-related zinc finger protein	
Zm00001d047679	csu634	 csu634; : protein phosphatase 2C-like (Alexandrov et al.)	AT1G09160
Zm00001d047680		Calmodulin-binding protein 60 G	
Zm00001d047681		Pentatricopeptide repeat-containing protein	AT5G50990
Zm00001d047683		NAD(P)-binding Rossmann-fold superfamily protein	
Zm00001d047685	umc2341	Probable galacturonosyltransferase-like 7	AT3G62660
Zm00001d047687		Chaperone DnaJ-domain superfamily protein	AT1G56300
Zm00001d047688		transducin family protein / WD-40 repeat family protein	
Zm00001d047689		zinc finger (MYND type) family protein / programmed cell death 2 C-terminal domain-containing protein	AT4G02220
Zm00001d047690		Nucleic acid-binding proteins superfamily	
Zm00001d047691		Protein trichome birefringence-like 34	
Zm00001d047694		Glycosyltransferase 5	AT3G62720,AT4G02500
Zm00001d047695		Putative pyridoxal phosphate (PLP)-dependent transferase family protein	AT4G33680
Zm00001d047696		senescence associated gene 20	AT5G01740
Zm00001d047697	rps28	ribosomal protein S28	AT3G10090,AT5G03850,AT5G64140
Zm00001d047698		Short-chain dehydrogenase reductase 2a	AT3G51680
Zm00001d047699	umc2342	U2 small nuclear ribonucleoprotein B''	AT2G30260,AT1G06960
Zm00001d047701		Protein SCAR2	AT2G38440
Zm00001d047702	umc2344	CASP-like protein 4B1	AT2G38480
Zm00001d047705		Cyclase/dehydrase family protein	AT2G38310,AT2G40330,AT5G05440
Zm00001d047706		catalytics;transferases;[acyl-carrier-protein] S-malonyltransferases;binding	
Zm00001d047707		40S ribosomal protein S7-2	AT1G48830
Zm00001d047708		SNF2 domain-containing protein CLASSY 1	
Zm00001d047709		Mitochondrial substrate carrier family protein	AT1G07030,AT2G30160
Zm00001d047711		Egg cell-secreted protein 1.1	AT1G76750
Zm00001d047712		Glucan endo-13-beta-glucosidase 9	AT5G58480
Zm00001d047713		Eukaryotic translation initiation factor 2 subunit alpha	AT2G40290,AT5G05470
Zm00001d047714		Actin-interacting protein 1-2	
Zm00001d047716	mybr72	MYB-related-transcription factor 72	
Zm00001d047719	AW215946	Protein kinase superfamily protein	AT5G07140,AT5G58520
Zm00001d047720		NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8-B	
Zm00001d047721		tetratricopeptide repeat (TPR)-containing protein	AT3G51770
Zm00001d047723		Tetratricopeptide repeat (TPR)-like superfamily protein	AT1G07120
Zm00001d047726		DnaJ protein ERDJ3A	AT3G08970
Zm00001d047727	umc2343	Ran-binding protein 1	AT1G07140,AT2G30060,AT5G58590
Zm00001d047728		Putative MAPKKK family protein kinase	AT2G30040,AT1G07150
Zm00001d047729		Replication protein-like	
Zm00001d047732		Probable protein phosphatase 2C 30	AT1G07160,AT2G30020
Zm00001d047736	asn4	asparagine synthetase4	
Zm00001d047737		Protein trichome birefringence-like 3	AT5G01360
Zm00001d047738		Protein PMR5	AT2G30010,AT5G58600
Zm00001d047739		Phosphoinositide phosphatase SAC8	AT3G51830
Zm00001d047742	mads28	MADS-transcription factor 28	
Zm00001d047743	fad7	fatty acid desaturase7	AT5G05580,AT3G11170
Zm00001d047744		jasmonate-regulated gene 21	AT3G11180,AT3G55970,AT5G05600
Zm00001d047745		Protein YIP1	AT2G36300,AT3G52760
Zm00001d047746		Has 215 Blast hits to 213 proteins in 79 species: Archae - 0; Bacteria - 6; Plants - 42; Viruses - 0; Metazoa - 131; Other Eukaryotes - 14 (source: NCB /.../k).; Fungi - 22; CONTAINS InterPro DOMAIN/s: Cytochrome B561-related N-terminal (InterPro:IPR019176)	AT1G07970
Zm00001d047747	txln1	taxilin1	AT5G50840
Zm00001d047749		alpha/beta-Hydrolases superfamily protein	AT3G09690,AT5G02970
Zm00001d047750		Probable beta-14-xylosyltransferase IRX9	AT2G37090
Zm00001d047751		F-box protein At-B	
Zm00001d047752	lbd41	LBD-transcription factor 41	AT2G28500,AT1G07900
Zm00001d047753		Probable RNA-binding protein ARP1	AT3G54770
Zm00001d047754		Probable sugar phosphate/phosphate translocator	AT5G05820,AT3G11320
Zm00001d047755		Arogenate dehydratase/prephenate dehydratase 2 chloroplastic	AT3G07630
Zm00001d047757	apx1	ascorbate peroxidase homolog	AT1G07890
Zm00001d047758	mpk1	MAP kinase1	AT3G45640
Zm00001d047759		Pentatricopeptide repeat-containing protein  chloroplastic	AT5G02830
Zm00001d047760		hydrolase family protein / HAD-superfamily protein	AT5G13510,AT3G45740
Zm00001d047761		Two-component response regulator-like APRR3	AT5G02810
Zm00001d047762	umc2134	Ypt/Rab-GAP domain of gyp1p superfamily protein	
Zm00001d047763		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	AT3G55030,AT2G39290
Zm00001d047764		 protein; Expressed protein	
